
****

ttH - DONE SR, fake, flip
Oct19v1_MC_2017_VBFHToWWToLNuQQ --> 0,0,0 
Oct19v1_MC_2017_VBFHToWWTo2L2Nu --> 0,0,5 
Oct19v1_MC_2017_VBFHToMuMu --> 0,1,0 
Oct19v1_MC_2017_VBFHToBB --> 0,0,0 
Oct19v1_MC_2017_VBFHToGG --> 0,0,0 
Oct19v2_MC_2017_VBFHToGG_PS --> 0,0,0 

Oct19v1_MC_2018_VBFHToTauTau --> 0,2,4 
Oct19v2_MC_2018_VBF_HToZZTo4L --> 63,42,93 
Oct19v2_MC_2018_VBFHToWWToLNuQQ --> 0,0,0 
Oct19v1_MC_2018_VBFHToWWTo2L2Nu --> 0,0,20 
Oct19v1_MC_2018_VBFHToMuMu --> 0,0,0 
Oct19v2_MC_2018_VBFHToBB --> 0,0,0 
Oct19v2_MC_2018_VBFHToGG --> 0,0,0 

****

VH - DONE SR, fake, flip

Oct19v1_MC_2016_VHToNonbb --> 18,3,20 
Oct19v1_MC_2016_ZH_HToBB_ZToLL --> 3,23,98 
Oct19v1_MC_2016_ZHToTauTau --> 6,9,8 

Oct19v1_MC_2017_VHToNonbb --> 19,4,18 
Oct19v1_MC_2017_ZH_HToBB_ZToLL --> 3,26,209 
Oct19v1_MC_2017_ZHToTauTau --> 83,47,140 

Oct19v2_MC_2018_VHToNonbb --> 19,5,19 
Oct19v1_MC_2018_ZH_HToBB_ZToLL --> 3,38,211 
Oct19v3_MC_2018_ZH_HToBB_ZToLL_ext1 --> 1,11,72 
Oct19v2_MC_2018_ZHToTauTau --> 67,38,126 

****

TTVH - DONE SR, fake, flip

Oct19v1_MC_2016_TTWH --> 179,45,128 
Oct19v2_MC_2016_TTZH --> 124,42,87 

Oct19v4_MC_2017_TTWH --> 417,101,344 
Oct19v1_MC_2017_TTZH --> 269,78,238 

Oct19v1_MC_2018_TTWH --> 410,101,316 
Oct19v2_MC_2018_TTZH --> 236,78,220 

****

HH - DONE SR, fake, flip

Oct19v2_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_SM --> 0,0,157 
Oct19v2_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_box --> 0,5,153 
Oct19v3_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_1 --> 0,0,180 
Oct19v1_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_2 --> 0,0,1 
Oct19v1_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_3 --> 0,2,170 
Oct19v4_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_4 --> 1,0,152 
Oct19v2_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_5 --> 0,0,176 
Oct19v2_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_6 --> 0,3,130 
Oct19v2_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_7 --> 0,3,142 
Oct19v2_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_8 --> 0,0,168 
Oct19v3_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_9 --> 0,2,191 
Oct19v1_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_10 --> 0,0,129 
Oct19v2_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_11 --> 1,2,133 
Oct19v1_MC_2016_GluGluToHHTo2B2VTo2L2Nu_node_12 --> 0,1,120 
Oct19v1_MC_2016_GluGluToHHTo2B2Tau_node_SM --> 3,7,16 
Oct19v1_MC_2016_GluGluToHHTo2B2Tau_node_box --> 1,10,12 
Oct19v1_MC_2016_GluGluToHHTo2B2Tau_node_2 --> 2,10,13 
Oct19v2_MC_2016_GluGluToHHTo2B2Tau_node_9 --> 3,11,6 
Oct19v1_MC_2016_GluGluToHHTo2B2Tau_node_10 --> 3,4,9 
Oct19v1_MC_2016_GluGluToHHTo2B2Tau_node_11 --> 2,11,16 
Oct19v1_MC_2016_GluGluToHHTo2B2Tau_node_12 --> 7,12,17 
Oct19v3_MC_2016_GluGluToHHTo2B2Tau_node_13 --> 4,12,17 
Oct19v1_MC_2016_GluGluToHHTo4Tau_node_SM --> 93,30,64 
Oct19v1_MC_2016_GluGluToHHTo4Tau_node_box --> 80,28,72 
